,chance_of_playing_next_round,chance_of_playing_this_round,dreamteam_count,element_type,id,now_cost,points_per_game,selected_by_percent,status,total_points,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
0,100.0,100.0,0,2,1,51,3.2,0.4,a,26,5.1,Mustafi,620,0,2,2,9,0,0,0,0,0,0,1,144,174.2,15.4,107.0,29.8
1,100.0,100.0,0,2,2,55,3.1,1.2,a,25,4.5,Bellerín,623,1,0,2,10,0,0,0,2,0,0,3,116,117.6,37.7,38.0,19.5
2,100.0,100.0,0,2,3,52,2.1,0.5,a,35,6.7,Kolasinac,1103,0,2,2,19,0,0,0,3,0,0,1,222,190.0,157.3,67.0,41.2
3,100.0,100.0,1,2,4,45,2.6,2.3,a,36,8.0,Maitland-Niles,1210,0,2,3,19,0,0,0,3,1,0,3,216,261.8,155.4,37.0,44.9
4,100.0,100.0,1,2,5,48,3.0,1.4,a,57,11.9,Sokratis,1696,2,0,4,25,0,0,0,6,0,0,5,305,436.2,36.8,110.0,58.5
5,0.0,0.0,0,2,6,50,3.3,0.2,u,10,2.0,Monreal,270,0,0,1,4,0,0,0,0,0,0,1,54,47.2,40.8,12.0,10.0
6,0.0,0.0,0,2,7,50,0.0,0.1,u,0,0.0,Koscielny,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
7,0.0,0.0,0,2,8,43,0.0,0.0,n,0,0.0,Mavropanos,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
8,0.0,0.0,0,2,9,45,0.0,0.0,u,0,0.0,Jenkinson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
9,100.0,100.0,0,2,10,44,1.0,0.1,a,2,0.5,Holding,85,0,0,0,3,0,0,0,0,0,0,0,13,13.4,0.4,2.0,1.6
10,100.0,100.0,3,4,11,111,5.8,27.5,a,152,13.7,Aubameyang,2303,17,3,7,33,0,0,0,3,1,0,29,601,742.8,383.2,985.0,210.9
11,100.0,100.0,1,4,12,94,3.9,2.1,a,78,8.3,Lacazette,1311,7,4,3,18,0,0,0,5,0,0,9,277,384.8,287.0,666.0,134.0
